"Date","Time.Live","Timestamp","Average.Viewers","Live.Views","New.Followers","Chatters","Chat.Messages","Clips.Created","Clip.Views"
"2023_11_1",1,"12:22 PM",2,3,0,2,4,0,0
"2023_11_1",2,"12:23 PM",2,3,0,4,5,0,0
"2023_11_1",3,"12:24 PM",4,14,0,3,6,0,0
"2023_11_1",4,"12:25 PM",36,13,1,9,15,0,0
"2023_11_1",5,"12:26 PM",33,1,0,5,12,0,0
"2023_11_1",6,"12:27 PM",34,5,0,6,9,0,0
"2023_11_1",7,"12:28 PM",39,6,0,7,9,0,0
"2023_11_1",8,"12:29 PM",38,2,0,7,13,0,0
"2023_11_1",9,"12:30 PM",36,1,0,4,11,0,0
"2023_11_1",10,"12:31 PM",33,1,0,5,11,0,0
"2023_11_1",11,"12:32 PM",36,4,0,5,6,0,0
"2023_11_1",12,"12:33 PM",31,5,0,11,13,0,0
"2023_11_1",13,"12:34 PM",38,6,0,6,10,0,0
"2023_11_1",14,"12:35 PM",34,1,0,8,14,0,0
"2023_11_1",15,"12:36 PM",36,2,0,4,8,0,0
"2023_11_1",16,"12:37 PM",35,1,0,3,3,0,0
"2023_11_1",17,"12:38 PM",33,0,0,4,5,0,0
"2023_11_1",18,"12:39 PM",34,1,0,2,2,0,0
"2023_11_1",19,"12:40 PM",37,3,0,6,8,0,0
"2023_11_1",20,"12:41 PM",39,4,0,7,12,0,0
"2023_11_1",21,"12:42 PM",40,1,0,0,0,0,0
"2023_11_1",22,"12:43 PM",42,4,0,4,4,0,0
"2023_11_1",23,"12:44 PM",44,4,0,0,0,0,0
"2023_11_1",24,"12:45 PM",47,1,0,4,9,0,0
"2023_11_1",25,"12:46 PM",43,2,0,3,3,0,0
"2023_11_1",26,"12:47 PM",45,3,0,6,7,0,0
"2023_11_1",27,"12:48 PM",44,0,0,3,8,0,0
"2023_11_1",28,"12:49 PM",43,0,0,6,10,0,0
"2023_11_1",29,"12:50 PM",45,3,0,5,8,0,0
"2023_11_1",30,"12:51 PM",44,0,0,3,4,0,0
"2023_11_1",31,"12:52 PM",42,0,0,2,4,0,0
"2023_11_1",32,"12:53 PM",42,1,0,3,4,0,0
"2023_11_1",33,"12:54 PM",46,3,0,7,18,0,0
"2023_11_1",34,"12:55 PM",43,0,0,8,12,0,0
"2023_11_1",35,"12:56 PM",39,1,0,5,6,0,0
"2023_11_1",36,"12:57 PM",41,0,0,3,4,0,0
"2023_11_1",37,"12:58 PM",41,0,0,4,4,0,0
"2023_11_1",38,"12:59 PM",41,1,0,4,6,0,0
"2023_11_1",39,"1:00 PM",40,0,0,3,3,0,0
"2023_11_1",40,"1:01 PM",39,0,0,2,2,0,0
"2023_11_1",41,"1:02 PM",40,1,0,3,4,0,0
"2023_11_1",42,"1:03 PM",39,1,0,4,6,0,0
"2023_11_1",43,"1:04 PM",40,2,0,5,11,0,0
"2023_11_1",44,"1:05 PM",43,3,0,3,4,0,0
"2023_11_1",45,"1:06 PM",45,3,0,9,11,0,0
"2023_11_1",46,"1:07 PM",47,3,0,6,7,0,0
"2023_11_1",47,"1:08 PM",46,1,0,6,8,0,0
"2023_11_1",48,"1:09 PM",49,2,0,7,15,0,0
"2023_11_1",49,"1:10 PM",48,0,0,3,4,0,0
"2023_11_1",50,"1:11 PM",47,0,0,2,2,0,0
"2023_11_1",51,"1:12 PM",44,0,0,2,2,0,0
"2023_11_1",52,"1:13 PM",44,1,0,9,15,0,0
"2023_11_1",53,"1:14 PM",44,0,0,4,6,0,0
"2023_11_1",54,"1:15 PM",44,1,0,2,4,0,0
"2023_11_1",55,"1:16 PM",45,1,0,4,5,0,0
"2023_11_1",56,"1:17 PM",43,1,0,3,6,0,0
"2023_11_1",57,"1:18 PM",44,3,0,4,5,0,0
"2023_11_1",58,"1:19 PM",44,1,0,4,4,0,0
"2023_11_1",59,"1:20 PM",44,1,0,7,12,0,0
"2023_11_1",60,"1:21 PM",43,0,0,2,3,0,0
"2023_11_1",61,"1:22 PM",43,2,0,7,12,0,0
"2023_11_1",62,"1:23 PM",43,0,0,12,19,0,0
"2023_11_1",63,"1:24 PM",45,1,0,7,12,0,0
"2023_11_1",64,"1:25 PM",45,2,0,8,16,0,0
"2023_11_1",65,"1:26 PM",47,2,0,7,18,0,0
"2023_11_1",66,"1:27 PM",45,2,0,4,5,0,0
"2023_11_1",67,"1:28 PM",44,0,0,4,5,0,0
"2023_11_1",68,"1:29 PM",46,6,0,5,8,0,0
"2023_11_1",69,"1:30 PM",46,0,0,7,8,0,0
"2023_11_1",70,"1:31 PM",45,0,0,3,3,0,0
"2023_11_1",71,"1:32 PM",46,1,0,2,2,0,0
"2023_11_1",72,"1:33 PM",46,2,0,3,4,0,0
"2023_11_1",73,"1:34 PM",46,2,0,3,4,0,0
"2023_11_1",74,"1:35 PM",45,2,0,0,0,0,0
"2023_11_1",75,"1:36 PM",45,1,0,2,4,0,0
"2023_11_1",76,"1:37 PM",45,0,0,4,6,0,0
"2023_11_1",77,"1:38 PM",47,2,0,3,4,0,0
"2023_11_1",78,"1:39 PM",47,1,0,4,4,0,0
"2023_11_1",79,"1:40 PM",49,2,0,2,2,0,0
"2023_11_1",80,"1:41 PM",48,0,0,2,2,0,0
"2023_11_1",81,"1:42 PM",47,1,0,2,2,0,0
"2023_11_1",82,"1:43 PM",45,2,0,2,2,0,0
"2023_11_1",83,"1:44 PM",48,0,0,5,6,0,0
"2023_11_1",84,"1:45 PM",49,2,0,5,7,0,0
