"Date","Time.Live","Timestamp","Average.Viewers","Live.Views","New.Followers","Chatters","Chat.Messages","Clips.Created","Clip.Views"
"2024_3_15",1,"7:56 PM",13,7,0,6,9,0,0
"2024_3_15",2,"7:57 PM",14,5,0,5,10,0,0
"2024_3_15",3,"7:58 PM",12,3,0,7,9,0,0
"2024_3_15",4,"7:59 PM",13,0,0,5,7,0,0
"2024_3_15",5,"8:00 PM",15,0,0,1,2,0,0
"2024_3_15",6,"8:01 PM",12,3,0,7,14,1,0
"2024_3_15",7,"8:02 PM",14,2,0,5,9,0,0
"2024_3_15",8,"8:03 PM",19,4,0,6,10,0,0
"2024_3_15",9,"8:04 PM",14,1,0,7,13,0,0
"2024_3_15",10,"8:05 PM",14,0,0,6,7,0,0
"2024_3_15",11,"8:06 PM",19,3,0,2,3,0,0
"2024_3_15",12,"8:07 PM",19,0,0,8,11,0,0
"2024_3_15",13,"8:08 PM",20,3,0,1,1,0,0
"2024_3_15",14,"8:09 PM",21,0,0,5,9,0,0
"2024_3_15",15,"8:10 PM",19,2,0,2,3,0,0
"2024_3_15",16,"8:11 PM",19,0,0,3,7,0,0
"2024_3_15",17,"8:12 PM",20,5,0,4,6,0,0
"2024_3_15",18,"8:13 PM",21,0,0,8,11,0,0
"2024_3_15",19,"8:14 PM",19,2,0,1,1,0,0
"2024_3_15",20,"8:15 PM",22,3,0,4,4,0,0
"2024_3_15",21,"8:16 PM",18,0,0,0,0,0,0
"2024_3_15",22,"8:17 PM",20,2,0,1,1,0,0
"2024_3_15",23,"8:18 PM",19,1,0,1,1,0,0
"2024_3_15",24,"8:19 PM",18,1,0,0,0,0,0
"2024_3_15",25,"8:20 PM",19,2,0,0,0,0,0
"2024_3_15",26,"8:21 PM",15,1,0,2,3,0,0
"2024_3_15",27,"8:22 PM",12,2,0,1,1,0,0
"2024_3_15",28,"8:23 PM",16,0,0,1,1,0,0
"2024_3_15",29,"8:24 PM",16,0,0,2,4,0,0
"2024_3_15",30,"8:25 PM",16,0,0,0,0,0,0
"2024_3_15",31,"8:26 PM",17,1,0,0,0,0,0
"2024_3_15",32,"8:27 PM",20,4,0,0,0,0,0
"2024_3_15",33,"8:28 PM",18,1,0,1,1,0,0
"2024_3_15",34,"8:29 PM",17,0,0,3,3,0,0
"2024_3_15",35,"8:30 PM",17,0,0,2,2,0,0
"2024_3_15",36,"8:31 PM",16,0,0,3,4,0,0
"2024_3_15",37,"8:32 PM",17,2,0,0,0,0,0
"2024_3_15",38,"8:33 PM",19,1,0,0,0,0,0
